종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"298050","효성첨단소재","8708568","8708568","0","1096.0","1096.0","0.0"
"298020","효성티앤씨","2734845","2734845","0","439.0","439.0","0.0"
"298000","효성화학","3806248","3806248","0","577.0","577.0","0.0"
"093370","후성","996197648","996197648","0","9728.0","9728.0","0.0"
"081660","휠라코리아","137623595","137623595","0","8537.0","8537.0","0.0"
"005870","휴니드","11624729","11624729","0","94.0","94.0","0.0"
"079980","휴비스","19966585","19966585","0","148.0","148.0","0.0"
"005010","휴스틸","4946613","4946613","0","59.0","59.0","0.0"
"069260","휴켐스","20936909","20936909","0","457.0","457.0","0.0"
"000540","흥국화재","7153695","7153695","0","31.0","31.0","0.0"
"000547","흥국화재2우B","266294","266294","0","6.0","6.0","0.0"
"000545","흥국화재우","1542757","1542757","0","9.0","9.0","0.0"
"003280","흥아해운","1027771806","1027771806","0","615.0","615.0","0.0"
